     x            y            u      
  0.663366     0.039604     0.039510  
  0.673267     0.039604     0.039503  
  0.683168     0.039604     0.039495  
  0.693069     0.039604     0.039484  
  0.702970     0.039604     0.039471  
  0.712871     0.039604     0.039455  
  0.722772     0.039604     0.039435  
  0.732673     0.039604     0.039410  
  0.742574     0.039604     0.039380  
  0.752475     0.039604     0.039342  
  0.762376     0.039604     0.039295  
  0.772277     0.039604     0.039236  
  0.782178     0.039604     0.039164  
  0.792079     0.039604     0.039074  
  0.801980     0.039604     0.038962  
  0.811881     0.039604     0.038823  
  0.821782     0.039604     0.038651  
  0.831683     0.039604     0.038436  
  0.841584     0.039604     0.038169  
  0.851485     0.039604     0.037837  
  0.861386     0.039604     0.037423  
  0.871287     0.039604     0.036909  
  0.881188     0.039604     0.036269  
  0.891089     0.039604     0.035474  
  0.900990     0.039604     0.034487  
  0.910891     0.039604     0.033264  
  0.920792     0.039604     0.031753  
  0.930693     0.039604     0.029889  
  0.940594     0.039604     0.027601  
  0.950495     0.039604     0.024806  
  0.960396     0.039604     0.021412  
  0.970297     0.039604     0.017321  
  0.980198     0.039604     0.012440  
  0.990099     0.039604     0.006684  
  0.009901     0.049505     0.007392  
  0.019802     0.049505     0.013991  
  0.029703     0.049505     0.019787  
  0.039604     0.049505     0.024806  
  0.049505     0.049505     0.029097  
  0.059406     0.049505     0.032725  
  0.069307     0.049505     0.035765  
  0.079208     0.049505     0.038291  
  0.089109     0.049505     0.040375  
  0.099010     0.049505     0.042085  
  0.108911     0.049505     0.043483  
  0.118812     0.049505     0.044620  
  0.128713     0.049505     0.045543  
  0.138614     0.049505     0.046291  
  0.148515     0.049505     0.046896  
  0.158416     0.049505     0.047384  
  0.168317     0.049505     0.047778  
  0.178218     0.049505     0.048096  
  0.188119     0.049505     0.048353  
  0.198020     0.049505     0.048559  
  0.207921     0.049505     0.048726  
  0.217822     0.049505     0.048860  
  0.227723     0.049505     0.048969  
  0.237624     0.049505     0.049056  
  0.247525     0.049505     0.049127  
  0.257426     0.049505     0.049184  
  0.267327     0.049505     0.049230  
  0.277228     0.049505     0.049267  
  0.287129     0.049505     0.049297  
  0.297030     0.049505     0.049321  
  0.306931     0.049505     0.049341  
  0.316832     0.049505     0.049357  
  0.326733     0.049505     0.049369  
  0.336634     0.049505     0.049380  
  0.346535     0.049505     0.049388  
  0.356436     0.049505     0.049395  
  0.366337     0.049505     0.049401  
  0.376238     0.049505     0.049405  
  0.386139     0.049505     0.049409  
  0.396040     0.049505     0.049412  
  0.405941     0.049505     0.049414  
  0.415842     0.049505     0.049416  
  0.425743     0.049505     0.049417  
  0.435644     0.049505     0.049418  
  0.445545     0.049505     0.049419  
  0.455446     0.049505     0.049420  
  0.465347     0.049505     0.049421  
  0.475248     0.049505     0.049421  
  0.485149     0.049505     0.049421  
  0.495050     0.049505     0.049422  
  0.504950     0.049505     0.049422  
  0.514851     0.049505     0.049421  
  0.524752     0.049505     0.049421  
  0.534653     0.049505     0.049421  
  0.544554     0.049505     0.049420  
  0.554455     0.049505     0.049419  
  0.564356     0.049505     0.049418  
  0.574257     0.049505     0.049417  
  0.584158     0.049505     0.049416  
  0.594059     0.049505     0.049414  
  0.603960     0.049505     0.049412  
  0.613861     0.049505     0.049409  
  0.623762     0.049505     0.049405  
  0.633663     0.049505     0.049401  
  0.643564     0.049505     0.049395  
  0.653465     0.049505     0.049388  
  0.663366     0.049505     0.049380  
  0.673267     0.049505     0.049369  
  0.683168     0.049505     0.049357  
  0.693069     0.049505     0.049341  
  0.702970     0.049505     0.049321  
  0.712871     0.049505     0.049297  
  0.722772     0.049505     0.049267  
  0.732673     0.049505     0.049230  
  0.742574     0.049505     0.049184  
  0.752475     0.049505     0.049127  
  0.762376     0.049505     0.049056  
  0.772277     0.049505     0.048969  
  0.782178     0.049505     0.048860  
  0.792079     0.049505     0.048726  
  0.801980     0.049505     0.048559  
  0.811881     0.049505     0.048353  
  0.821782     0.049505     0.048096  
  0.831683     0.049505     0.047778  
  0.841584     0.049505     0.047384  
  0.851485     0.049505     0.046896  
  0.861386     0.049505     0.046291  
  0.871287     0.049505     0.045543  
  0.881188     0.049505     0.044620  
  0.891089     0.049505     0.043483  
  0.900990     0.049505     0.042085  
  0.910891     0.049505     0.040375  
  0.920792     0.049505     0.038291  
  0.930693     0.049505     0.035765  
  0.940594     0.049505     0.032725  
  0.950495     0.049505     0.029097  
  0.960396     0.049505     0.024806  
  0.970297     0.049505     0.019787  
  0.980198     0.049505     0.013991  
  0.990099     0.049505     0.007392  
  0.009901     0.059406     0.007933  
  0.019802     0.059406     0.015202  
  0.029703     0.059406     0.021764  
  0.039604     0.059406     0.027601  
  0.049505     0.059406     0.032725  
  0.059406     0.059406     0.037167  
  0.069307     0.059406     0.040972  
  0.079208     0.059406     0.044199  
  0.089109     0.059406     0.046911  
  0.099010     0.059406     0.049172  
  0.108911     0.059406     0.051045  
  0.118812     0.059406     0.052587  
  0.128713     0.059406     0.053851  
  0.138614     0.059406     0.054884  
  0.148515     0.059406     0.055725  
  0.158416     0.059406     0.056408  
  0.168317     0.059406     0.056963  
  0.178218     0.059406     0.057412  
  0.188119     0.059406     0.057775  
  0.198020     0.059406     0.058069  
  0.207921     0.059406     0.058306  
  0.217822     0.059406     0.058498  
  0.227723     0.059406     0.058653  
  0.237624     0.059406     0.058779  
  0.247525     0.059406     0.058880  
  0.257426     0.059406     0.058962  
  0.267327     0.059406     0.059028  
  0.277228     0.059406     0.059082  
  0.287129     0.059406     0.059125  
  0.297030     0.059406     0.059160  
  0.306931     0.059406     0.059188  
  0.316832     0.059406     0.059211  
  0.326733     0.059406     0.059230  
  0.336634     0.059406     0.059245  
  0.346535     0.059406     0.059257  
  0.356436     0.059406     0.059267  
  0.366337     0.059406     0.059275  
  0.376238     0.059406     0.059281  
  0.386139     0.059406     0.059286  
  0.396040     0.059406     0.059291  
  0.405941     0.059406     0.059294  
  0.415842     0.059406     0.059297  
  0.425743     0.059406     0.059299  
  0.435644     0.059406     0.059301  
  0.445545     0.059406     0.059302  
  0.455446     0.059406     0.059303  
  0.465347     0.059406     0.059304  
  0.475248     0.059406     0.059305  
  0.485149     0.059406     0.059305  
  0.495050     0.059406     0.059305  
  0.504950     0.059406     0.059305  
  0.514851     0.059406     0.059305  
  0.524752     0.059406     0.059305  
  0.534653     0.059406     0.059304  
  0.544554     0.059406     0.059303  
  0.554455     0.059406     0.059302  
